time,arrived,rejected,waitline
326,29,15,800
327,33,19,800
328,32,18,800
329,44,30,800
330,43,29,800
331,37,23,800
332,41,27,800
333,40,26,800
334,35,21,800
335,32,18,800
336,33,19,800
337,37,23,800
338,36,22,800
339,31,17,800
340,29,15,800
341,27,13,800
342,28,14,800
343,37,23,800
344,33,19,800
345,32,18,800
346,32,18,800
347,27,13,800
348,34,20,800
349,44,30,800
350,36,22,800
351,31,17,800
352,37,23,800
353,39,25,800
354,35,21,800
355,29,15,800
356,42,28,800
357,37,23,800
358,35,21,800
359,30,16,800
360,36,22,800
361,34,20,800
362,41,27,800
363,33,19,800
364,31,17,800
365,32,18,800
366,39,25,800
367,37,23,800
368,48,34,800
369,32,18,800
370,43,29,800
371,29,15,800
372,34,20,800
373,21,7,800
374,40,26,800
375,39,25,800
376,32,18,800
377,28,14,800
378,42,28,800
379,38,38,800
380,26,12,800
381,34,20,800
382,49,35,800
383,38,24,800
384,30,16,800
385,34,20,800
386,42,28,800
387,27,13,800
388,28,14,800
389,33,19,800
390,32,18,800
391,37,23,800
392,40,26,800
393,28,14,800
394,26,12,800
395,26,12,800
396,34,20,800
397,40,26,800
398,38,24,800
399,34,20,800
400,28,14,800
401,36,22,800
402,36,22,800
403,35,21,800
404,36,22,800
405,33,19,800
406,32,18,800
407,42,28,800
408,34,20,800
409,29,15,800
410,36,22,800
411,35,21,800
412,37,23,800
413,36,22,800
414,31,17,800
415,41,27,800
416,26,12,800
417,27,13,800
418,44,30,800
419,29,15,800
420,35,21,800
421,30,16,800
422,41,27,800
423,32,18,800
424,33,19,800
425,42,28,800
426,32,18,800
427,40,26,800
428,37,23,800
429,25,11,800
430,31,17,800
431,39,25,800
432,37,23,800
433,41,27,800
434,32,18,800
435,30,16,800
436,30,16,800
437,37,23,800
438,28,14,800
439,38,24,800
440,40,26,800
441,38,24,800
442,30,16,800
443,33,19,800
444,32,18,800
445,34,20,800
446,31,17,800
447,33,19,800
448,35,21,800
449,29,15,800
450,36,22,800
451,23,9,800
452,33,19,800
453,33,19,800
454,32,18,800
455,39,25,800
456,31,17,800
457,37,23,800
458,36,22,800
459,43,29,800
460,38,24,800
461,40,26,800
462,38,24,800
463,32,18,800
464,37,23,800
465,21,7,800
466,35,21,800
467,41,27,800
468,37,23,800
469,37,23,800
470,35,21,800
471,33,19,800
472,33,19,800
473,38,24,800
474,40,26,800
475,38,24,800
476,29,15,800
477,25,11,800
478,26,12,800
479,38,24,800
480,21,7,800
481,26,12,800
482,28,14,800
483,26,12,800
484,11,0,797
485,13,0,796
486,22,4,800
487,22,8,800
488,27,13,800
489,30,16,800
490,20,6,800
491,23,9,800
492,27,13,800
493,31,17,800
494,27,13,800
495,22,8,800
496,31,17,800
497,21,7,800
498,20,6,800
499,25,11,800
500,30,16,800
501,27,13,800
502,32,18,800
503,21,7,800
504,24,10,800
505,28,14,800
506,31,17,800
507,25,11,800
508,28,14,800
509,33,19,800
510,21,7,800
511,32,18,800
512,25,11,800
513,33,19,800
514,25,11,800
515,25,11,800
516,33,19,800
517,29,15,800
518,29,15,800
519,26,12,800
520,27,13,800
521,39,25,800
522,33,19,800
523,23,9,800
524,31,17,800
525,26,12,800
526,27,13,800
527,28,14,800
528,29,15,800
529,29,15,800
530,22,8,800
531,26,12,800
532,24,10,800
533,20,6,800
534,29,15,800
535,31,17,800
536,31,17,800
537,27,13,800
538,24,10,800
539,26,12,800
540,26,12,800
541,27,13,800
542,25,11,800
543,20,6,800
544,26,12,800
545,16,2,800
546,28,14,800
547,25,11,800
548,30,16,800
549,25,11,800
550,19,5,800
551,25,11,800
552,25,11,800
553,17,3,800
554,29,15,800
555,23,9,800
556,27,13,800
557,24,10,800
558,20,6,800
559,24,10,800
560,21,7,800
561,24,10,800
562,15,1,800
563,28,14,800
564,26,12,800
565,29,15,800
566,26,12,800
567,24,10,800
568,25,11,800
569,39,25,800
570,17,3,800
571,18,4,800
572,27,13,800
573,26,12,800
574,21,7,800
575,21,7,800
576,27,13,800
577,32,18,800
578,28,14,800
579,24,10,800
580,24,10,800
581,30,16,800
582,34,20,800
583,33,19,800
584,31,17,800
585,29,15,800
586,23,9,800
587,25,11,800
588,21,7,800
589,25,11,800
590,33,19,800
591,24,10,800
592,31,17,800
593,35,21,800
594,20,6,800
595,24,10,800
596,29,15,800
597,29,15,800
598,32,18,800
599,22,8,800
