time,arrived,rejected,waitline
571,18,0,579
572,27,0,578
573,26,0,576
574,21,0,569
575,21,0,562
576,27,0,561
577,32,0,565
578,28,0,565
579,24,0,561
580,24,0,557
581,30,0,559
582,34,0,565
583,33,0,570
584,31,0,573
585,29,0,574
586,23,0,569
587,25,0,566
588,21,0,559
589,25,0,556
590,33,0,561
591,24,0,557
592,31,0,560
593,35,0,567
594,20,0,559
595,24,0,555
596,29,0,556
597,29,0,557
598,32,0,561
599,22,0,555
