time,arrived,rejected,waitline
145,40,0,105
146,51,0,114
147,49,0,121
148,48,0,127
149,58,0,143
150,47,0,148
151,50,0,156
152,36,0,150
153,38,0,146
154,45,0,149
155,36,0,143
156,35,0,136
157,39,0,133
158,44,0,135
159,51,0,144
160,46,0,148
161,50,0,156
162,34,0,148
163,38,0,144
164,77,0,179
165,39,0,176
166,53,0,187
167,37,0,182
168,65,0,205
169,35,0,198
170,53,0,209
171,35,0,202
172,28,0,188
173,55,0,201
174,46,0,205
175,39,0,202
176,38,0,198
177,43,0,199
178,54,0,211
179,51,0,220
180,42,0,220
181,46,0,224
182,46,0,228
183,44,0,230
184,48,0,236
185,37,0,231
186,45,0,234
187,50,0,242
188,41,0,241
189,62,0,261
190,46,0,265
191,53,0,276
192,49,0,283
193,47,0,288
194,33,0,279
195,49,0,286
196,51,0,295
197,55,0,308
198,53,0,319
199,51,0,328
200,59,0,345
201,49,0,352
202,54,0,364
203,60,0,382
204,48,0,388
205,45,0,405
206,38,0,387
207,51,0,396
208,53,0,407
209,36,0,401
210,47,0,406
211,40,0,404
212,47,0,409
213,40,0,407
214,48,0,413
215,42,0,413
216,42,0,413
217,40,0,411
218,35,0,404
219,47,0,409
220,40,0,407
221,47,0,412
222,45,0,415
223,58,0,431
224,41,0,430
225,46,0,434
226,49,0,441
227,37,0,436
228,44,0,438
229,46,0,442
230,56,0,456
231,44,0,458
232,42,0,458
233,52,0,468
234,44,0,470
235,28,0,456
236,42,0,456
237,47,0,461
238,51,0,470
239,40,0,468
240,38,0,464
241,35,0,457
242,35,0,450
243,32,0,440
244,38,0,436
245,30,0,424
246,37,0,419
247,25,0,402
248,34,0,394
249,38,0,390
250,38,0,386
251,37,0,381
252,33,0,372
253,30,0,360
254,36,0,354
255,37,0,349
256,39,0,346
257,32,0,336
258,39,0,333
259,30,0,321
260,44,0,323
261,38,0,319
262,37,0,314
263,31,0,303
264,35,0,296
265,27,0,281
266,31,0,270
267,42,0,270
268,38,0,266
269,27,0,251
270,28,0,237
271,33,0,228
272,36,0,222
273,36,0,216
274,37,0,211
275,32,0,201
276,39,0,198
277,32,0,188
278,32,0,178
279,30,0,166
280,48,0,172
281,20,0,150
282,41,0,149
283,32,0,139
284,30,0,127
285,34,0,119
286,46,0,123
287,43,0,124
288,39,0,121
289,38,0,117
290,28,0,103
291,38,0,99
292,33,0,90
293,39,0,87
294,45,0,90
295,43,0,91
296,41,0,90
297,30,0,78
298,40,0,76
299,36,0,70
300,32,0,60
301,43,0,61
302,43,0,62
303,42,0,62
304,35,0,55
305,36,0,49
306,29,0,36
307,31,0,31
308,42,0,42
309,35,0,35
310,34,0,34
311,41,0,41
312,35,0,35
313,32,0,32
314,30,0,30
315,38,0,38
316,38,0,38
317,29,0,29
318,36,0,36
319,35,0,35
320,41,0,41
321,38,0,38
322,30,0,30
323,30,0,30
324,35,0,35
325,28,0,28
326,29,0,29
327,33,0,33
328,32,0,32
329,44,0,44
330,43,0,45
331,37,0,40
332,41,0,41
333,40,0,40
334,35,0,35
335,32,0,32
336,33,0,33
337,37,0,37
338,36,0,36
339,31,0,31
340,29,0,29
341,27,0,27
342,28,0,28
343,37,0,37
344,33,0,33
345,32,0,32
346,32,0,32
347,27,0,27
348,34,0,34
349,44,0,44
350,36,0,38
351,31,0,31
352,37,0,37
353,39,0,39
354,35,0,35
355,29,0,29
356,42,0,42
357,37,0,37
358,35,0,35
359,30,0,30
360,36,0,36
361,34,0,34
362,41,0,41
363,33,0,33
364,31,0,31
365,32,0,32
366,39,0,39
367,37,0,37
368,48,0,48
369,32,0,38
370,43,0,43
371,29,0,30
372,34,0,34
373,21,0,21
374,40,0,40
375,39,0,39
376,32,0,32
377,28,0,28
378,42,0,42
379,38,0,38
380,26,0,26
381,34,0,34
382,49,0,49
383,38,0,45
384,30,0,33
385,34,0,34
386,42,0,42
387,27,0,27
388,28,0,28
389,33,0,33
390,32,0,32
391,37,0,37
392,40,0,40
393,28,0,28
394,26,0,26
395,26,0,26
396,34,0,34
397,40,0,40
398,38,0,38
399,34,0,34
400,28,0,28
401,36,0,36
402,36,0,36
403,35,0,35
404,36,0,36
405,33,0,33
406,32,0,32
407,42,0,42
408,34,0,34
409,29,0,29
410,36,0,36
411,35,0,35
412,37,0,37
413,36,0,36
414,31,0,31
415,41,0,41
416,26,0,26
417,27,0,27
418,44,0,44
419,29,0,31
420,35,0,35
421,30,0,30
422,41,0,41
423,32,0,32
424,33,0,33
425,42,0,42
426,32,0,32
427,40,0,40
428,37,0,37
429,25,0,25
430,31,0,31
431,39,0,39
432,37,0,37
433,41,0,41
434,32,0,32
435,30,0,30
436,30,0,30
437,37,0,37
438,28,0,28
439,38,0,38
440,40,0,40
441,38,0,38
442,30,0,30
443,33,0,33
444,32,0,32
445,34,0,34
446,31,0,31
447,33,0,33
448,35,0,35
449,29,0,29
450,36,0,36
451,23,0,23
452,33,0,33
453,33,0,33
454,32,0,32
455,39,0,39
456,31,0,31
457,37,0,37
458,36,0,36
459,43,0,43
460,38,0,39
461,40,0,40
462,38,0,38
463,32,0,32
464,37,0,37
465,21,0,21
466,35,0,35
467,41,0,41
468,37,0,37
469,37,0,37
470,35,0,35
471,33,0,33
472,33,0,33
473,38,0,38
474,40,0,40
475,38,0,38
476,29,0,29
477,25,0,25
478,26,0,26
479,38,0,38
480,21,0,21
481,26,0,26
482,28,0,28
483,26,0,26
484,11,0,11
485,13,0,13
486,22,0,22
487,22,0,22
488,27,0,27
489,30,0,30
490,20,0,20
491,23,0,23
492,27,0,27
493,31,0,31
494,27,0,27
495,22,0,22
496,31,0,31
497,21,0,21
498,20,0,20
499,25,0,25
500,30,0,30
501,27,0,27
502,32,0,32
503,21,0,21
504,24,0,24
505,28,0,28
506,31,0,31
507,25,0,25
508,28,0,28
509,33,0,33
510,21,0,21
511,32,0,32
512,25,0,25
513,33,0,33
514,25,0,25
515,25,0,25
516,33,0,33
517,29,0,29
518,29,0,29
519,26,0,26
520,27,0,27
521,39,0,39
522,33,0,33
523,23,0,23
524,31,0,31
525,26,0,26
526,27,0,27
527,28,0,28
528,29,0,29
529,29,0,29
530,22,0,22
531,26,0,26
532,24,0,24
533,20,0,20
534,29,0,29
535,31,0,31
536,31,0,31
537,27,0,27
538,24,0,24
539,26,0,26
540,26,0,26
541,27,0,27
542,25,0,25
543,20,0,20
544,26,0,26
545,16,0,16
546,28,0,28
547,25,0,25
548,30,0,30
549,25,0,25
550,19,0,19
551,25,0,25
552,25,0,25
553,17,0,17
554,29,0,29
555,23,0,23
556,27,0,27
557,24,0,24
558,20,0,20
559,24,0,24
560,21,0,21
561,24,0,24
562,15,0,15
563,28,0,28
564,26,0,26
565,29,0,29
566,26,0,26
567,24,0,24
568,25,0,25
569,39,0,39
570,17,0,17
571,18,0,18
572,27,0,27
573,26,0,26
574,21,0,21
575,21,0,21
576,27,0,27
577,32,0,32
578,28,0,28
579,24,0,24
580,24,0,24
581,30,0,30
582,34,0,34
583,33,0,33
584,31,0,31
585,29,0,29
586,23,0,23
587,25,0,25
588,21,0,21
589,25,0,25
590,33,0,33
591,24,0,24
592,31,0,31
593,35,0,35
594,20,0,20
595,24,0,24
596,29,0,29
597,29,0,29
598,32,0,32
599,22,0,22
